name,description,industry
3M Health Care,"We believe nothing is more important than good health. Itâ€™s this belief that inspires us to develop reliable, quality products and solutions for the global health care industry. Whether youâ€™re connecting with patients directly, developing biopharmaceutical solutions or designing a medical device, the work you do every day is improving lives.",Hospitals and Health Care
AHIMA,"AHIMA is a global nonprofit association of health information (HI) professionals with more than 71,000 members and more than 100,000 credentials in the field. The AHIMA mission of empowering people to impact health drives our members and credentialed HI professionals to ensure that health information is accurate, complete, and available to patients and providers. Our leaders work at the intersection of healthcare, technology, and business and are found in data integrity and information privacy job functions worldwide.",Hospitals and Health Care
Allina Health,"People at Allina Health have a career of making a difference in the lives of the millions of patients we see each year at our 90+ clinics, 12 hospitals and through a wide variety of specialty care services in Minnesota and western Wisconsin.

Weâ€™re a not-for-profit organization committed to enriching your career by providing ongoing training, competitive compensation, support for work-life balance and ways to give back to the communities we serve. Join our team of 29,000+ employees â€“ your career opportunities are limitless!",Hospitals and Health Care
American College of Cardiology,"The American College of Cardiology envisions a world where innovation and knowledge optimize cardiovascular care and outcomes. As the professional home for the entire cardiovascular care team, the mission of the College and its more than 56,000 members is to transform cardiovascular care and to improve heart health. The ACC bestows credentials upon cardiovascular professionals who meet stringent qualifications and leads in the formation of health policy, standards and guidelines. The College also provides professional medical education, disseminates cardiovascular research through its world-renowned JACC Journals, operates national registries to measure and improve care, and offers cardiovascular accreditation to hospitals and institutions. For more, visit ACC.org.

Working for the ACC

When you join the ACC as a staff member, you become a part of a long tradition of innovative, collaborative and driven individuals dedicated to supporting and implementing the College's mission to transform cardiovascular care and improve heart health. We employ more than 500 staff members in various stages of their careers, with a wide array of expertise and coming from a diverse spectrum of personal and professional backgrounds. We are a professional organization with a culture of collaboration, innovation, wellness and positive energy. We believe in the gold standard that the College represents to the field of cardiovascular care and invite you to explore our career opportunities.

The ACC values all members of the College and ACC staff. As the foundation of the organization, ACC staff enjoy world-class benefits and a culture of work-life balance. By joining the ACC, you'll join the ranks of the many other employees who take part in incredible benefits. Learn more at www.acc.org/jobs and check us out on Glassdoor.",Hospitals and Health Care
Apria,"Apria is a leading provider of home healthcare equipment and related services across the USA, offering a comprehensive range of products and services for in-home care and delivery of respiratory therapy, obstructive sleep apnea treatment, and negative pressure wound therapy, along with additional equipment and services.

Apria is focused on being the industryâ€™s highest-quality provider of home healthcare therapies that require high-touch service, while providing a bridge from the acute care setting to the home and maintaining commitment to being a low-cost operator. Apria offers a compelling value proposition to patients, providers, and payors by allowing patients to receive necessary care and services in the comfort of their own homes, while, at the same time, reducing the costs of treatment. Apria serves nearly 2 million patients through approximately 275 branches.",Hospitals and Health Care
ArchCare,"ArchCare is the Continuing Care Community of the Archdiocese of New York and one of the nationâ€™s largest and most dynamic healthcare systems. ArchCare provides quality care to thousands of people of all faiths through its home and community-based and residential care programs, including long-term skilled nursing care, short-term rehabilitation, home care, nursing home alternatives, hospice, assisted living, an acute care specialty hospital and health and social services for people with Huntingtonâ€™s disease, HIV/AIDS, developmental disabilities and other specialized care needs.

ArchCare reserves the right in its sole discretion to delete any comments it deems are inappropriate. Comments including but not limited to the following may be deleted by the page moderators:
1. Comments that use foul language or ""hate speech""â€‹ (for example, derogatory comments related to legally protected characteristics such as race, ethnicity, religion and gender)
2. Personal attacks or defamatory statements or comments (i.e., making negative personal or untrue comments about a participant), instead of just criticizing his/her posting, opinion or comments
3. Comments that violate the privacy of our patients and their families",Hospitals and Health Care
Atlantic Health System,"At Atlantic Health System, our promise to our communities is that anyone who enters anyone of our facilities, receive the highest quality care delivered at the right time, at the right place, and at the right cost. That commitment is also echoed in the respect, development and opportunities we give to our more than 18,000 team members. Headquartered in Morristown, New Jersey, we are one of the leading non-profit health care systems in the state, and committed to creating a Trusted Network of CaringÂ®. Our facilities and sites of care include: 
â€¢ Morristown Medical Center, Morristown, NJ
â€¢ Overlook Medical Center, Summit, NJ
â€¢ Newton Medical Center, Newton, NJ
â€¢ Chilton Medical Center, Pompton Plains, NJ
â€¢ Hackettstown Medical Center, Hackettstown, NJ
â€¢ Goryeb Childrenâ€™s Hospital, Morristown, NJ 
â€¢ Atlantic Rehabilitation
â€¢ Atlantic Home Care and Hospice

We also have more than 900 community-based healthcare providers affiliated through Atlantic Medical Group. We are part of Atlantic Accountable Care Organization, one of the largest ACOs in the nation, and are a member of AllSpire Health Partners.

We receive awards and recognitions for what we provide to our patients, team members and communities. Below are just a few of our accolades: 

â€¢ 100 Best Companies to Work ForÂ® - Great Place to WorkÂ® and FORTUNEÂ® magazine (14 years in a row)

â€¢ Best Places to Work In Healthcare â€“ Modern Healthcare 

â€¢ 150 Top Places to work in Healthcare â€“ Beckerâ€™s Healthcare 

â€¢ 100 Accountable Care Organizations to Know â€“ Beckerâ€™s Hospital Review 

â€¢ Best Employers for Workers over 50 â€“ AARP 

â€¢ Gold-Level ""Well Workplace""â€‹: Wellness Council of America (WELCOA)

â€¢ CEO Cancer Gold Standardâ„¢ 

â€¢ One of the 100 Best Workplaces For Millennials: Great Place to WorkÂ® and FORTUNEÂ® magazine

â€¢ One of the 20 Best Workplaces in Health Care: Great Place to WorkÂ® and FORTUNEÂ® magazine

â€¢ Security 500: Security magazine

â€¢ Official Health Care Partner of the New York Jets

â€¢ NJ Sustainable Business",Hospitals and Health Care
Aurora Health Care,"Aurora Health Care is proud to be a part of Advocate Health, the fifth-largest nonprofit integrated health system in the U.S.

Advocate Health is the fifth-largest nonprofit integrated health system in the United States â€“created from the combination of Advocate Aurora Health and Atrium Health. Providing care under the names Advocate Health Care in Illinois, Atrium Health in the Carolinas, Georgia and Alabama, and Aurora Health Care in Wisconsin, Advocate Health is a national leader in clinical innovation, health outcomes, consumer experience and value-based care, with Wake Forest University School of Medicine serving as the academic core of the enterprise. Headquartered in Charlotte, North Carolina, Advocate Health serves nearly 6 million patients and is engaged in hundreds of clinical trials and research studies. It is nationally recognized for its expertise in cardiology, neurosciences, oncology, pediatrics and rehabilitation, as well as organ transplants, burn treatments and specialized musculoskeletal programs. Advocate Health employs nearly 150,000 team members across 67 hospitals and over 1,000 care locations, and offers one of the nationâ€™s largest graduate medical education programs with over 2,000 residents and fellows across more than 200 programs. Committed to equitable care for all, Advocate Health provides nearly $5 billion in annual community benefits.

Learn more: advocatehealth.org

Read our social media community engagement guidelines: aah.org/social",Hospitals and Health Care
BAYADA Home Health Care,"Founded in 1975, BAYADA has become a trusted leader in providing a full range of clinical care and support services at home for children and adults of all ages. With more than 360 offices with 28,000 employees in 23 states and 6 countries, BAYADA has remained true to Markâ€™s commitment to purpose by finding, training, and supporting employees who take pride and joy in healing and helping. For more information, visit www.bayada.com.

DISCLAIMER:
During the application process, BAYADA Home Health Care will never ask for any financial information, such as your banking or social security number. Always be absolutely sure you know who you're dealing with before giving any personal or financial information. Likewise, you will never be ""short-listed"" for available positions based on a posted resume alone without being interviewed.

If you believe you have been contacted fraudulently by a job scam, please call 888-657-6727 to discuss the validity of the information you received. For additional information on identity theft and how to protect yourself, please visit https://www.ftc.gov/faq/consumer-protection/report-identity-theft.",Hospitals and Health Care
Burjeel Hospital,"Experience the art of healing



Burjeel Hospital is Abu Dhabiâ€™s premier private healthcare facility providing world-class, specialized and superior healthcare complemented by a warm and personalized human touch to the growing population of the emirate of Abu Dhabi. 



A unit of the VPS Healthcare, Burjeel Hospital opened for patients in April 2012 as a Tertiary hospital under the auspices of the Health Authority for Abu Dhabi. At the core of the organization is a team of exceptionally skilled and highly experienced health professionals, collaborating as multidisciplinary teams with Guests and their families as the main focus, to provide the best healthcare experience. 



Burjeel Hospital received the prestigious Joint Commission International (JCI) accreditation in June 2013 â€“ 15 months after starting operations. Currently, the hospital is affiliated with some of the worldâ€™s best healthcare institutions for its centers of excellence and is now becoming a renowned center of referral for Cardiovascular, Orthopedics, Ophthalmology, Pediatrics, Obstetrics and Gynecology, Reproductive Medicine and many more specialties handling complex laparoscopic and minimally invasive surgeries.



The hospital has full-fledged pharmacy, laboratory, and radiology units to serve Guests at any time of the day. Burjeel also houses a restaurant and a coffee shop, serving the finest and healthiest cuisines from across the world. Combining all-round specialization and expertise with most advanced technology, Burjeel offers the best in diagnostic, curative, as well as preventive aspects of healthcare.",Hospitals and Health Care
